date,Temperature,value,Laborable,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30
2014-01-01,11.4875,28191.597222222223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,13.0875,28465.180555555555,1,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,14.43125,26860.493055555555,1,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-04,11.98125,25333.597222222223,0,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-05,10.94375,23905.541666666668,0,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,12.56666666666667,29859.20138888889,1,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,12.13333333333333,30573.444444444445,1,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,12.0375,30887.75,1,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,10.3875,30847.819444444445,1,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,9.7625,27854.055555555555,1,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,,
2014-01-11,10.28125,25978.902777777777,0,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,,
2014-01-12,11.15,31149.77083333333,0,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,,
2014-01-13,9.90625,31835.131944444445,1,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,,
2014-01-14,10.6625,31586.58333333333,1,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,,
2014-01-15,11.61875,31591.07638888889,1,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,,
2014-01-16,10.30625,31397.67361111111,1,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,,
2014-01-17,9.35625,28335.39583333333,1,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,,
2014-01-18,9.65625,26466.881944444445,0,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,,
2014-01-19,7.975,31667.131944444445,0,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,,
2014-01-20,8.4125,32632.256944444445,1,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,,
2014-01-21,8.899999999999999,32458.791666666668,1,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,,
2014-01-22,10.3,31956.77083333333,1,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,,
2014-01-23,10.09375,31745.01388888889,1,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,,
2014-01-24,10.79375,28015.45138888889,1,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,,
2014-01-25,13.3125,25626.277777777777,0,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,,
2014-01-26,13.10625,30670.159722222223,0,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,,
2014-01-27,11.175,32244.847222222223,1,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,,
2014-01-28,9.24375,32012.57638888889,1,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,,
2014-01-29,8.850000000000001,32095.86111111111,1,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,,
2014-01-30,8.325,31796.118055555555,1,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223,
2014-01-31,10.6375,28507.097222222223,1,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555,28191.597222222223
2014-02-01,10.25625,26298.229166666668,0,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555,28465.180555555555
2014-02-02,8.26875,32316.79861111111,0,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223,26860.493055555555
2014-02-03,7.15625,32881.36111111111,1,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668,25333.597222222223
2014-02-04,8.681249999999999,32342.819444444445,1,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889,23905.541666666668
2014-02-05,11.68125,31590.33333333333,1,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445,29859.20138888889
2014-02-06,13.70625,31381.58333333333,1,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75,30573.444444444445
2014-02-07,10.9875,28287.64583333333,1,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445,30887.75
2014-02-08,10.9875,26391.07638888889,0,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555,30847.819444444445
2014-02-09,9.71875,31329.95138888889,0,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777,27854.055555555555
2014-02-10,8.7875,33005.583333333336,1,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333,25978.902777777777
2014-02-11,7.83125,32553.79861111111,1,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445,31149.77083333333
2014-02-12,10.03125,31540.70833333333,1,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333,31835.131944444445
2014-02-13,14.725,30560.840277777777,1,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889,31586.58333333333
2014-02-14,15.43125,27507.70833333333,1,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111,31591.07638888889
2014-02-15,11.9625,25751.569444444445,0,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333,31397.67361111111
2014-02-16,9.825,30875.95138888889,0,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445,28335.39583333333
2014-02-17,9.5,31534.527777777777,1,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445,26466.881944444445
2014-02-18,10.31875,31063.45138888889,1,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445,31667.131944444445
2014-02-19,10.88125,30986.916666666668,1,31063.45138888889,31534.527777777777,30875.95138888889,25751.569444444445,27507.70833333333,30560.840277777777,31540.70833333333,32553.79861111111,33005.583333333336,31329.95138888889,26391.07638888889,28287.64583333333,31381.58333333333,31590.33333333333,32342.819444444445,32881.36111111111,32316.79861111111,26298.229166666668,28507.097222222223,31796.118055555555,32095.86111111111,32012.57638888889,32244.847222222223,30670.159722222223,25626.277777777777,28015.45138888889,31745.01388888889,31956.77083333333,32458.791666666668,32632.256944444445
